postgres	postgres	car_shop_db	information_schema	tables	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	tables	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_cursors	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	constraint_table_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	constraint_table_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_prepared_xacts	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	domain_constraints	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_constraints	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_prepared_statements	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	domain_udt_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	domain_udt_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_settings	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_settings	UPDATE	NO	NO
postgres	postgres	car_shop_db	pg_catalog	pg_settings	SELECT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_settings	INSERT	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_settings	UPDATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_settings	DELETE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_settings	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_settings	REFERENCES	YES	NO
postgres	postgres	car_shop_db	pg_catalog	pg_settings	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	domains	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	domains	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	domains	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	domains	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domains	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	domains	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	domains	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	domains	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	information_schema	enabled_roles	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	enabled_roles	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	enabled_roles	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	enabled_roles	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	enabled_roles	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	enabled_roles	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	enabled_roles	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	enabled_roles	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_timezone_abbrevs	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	key_column_usage	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	key_column_usage	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	key_column_usage	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	key_column_usage	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	key_column_usage	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	key_column_usage	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	key_column_usage	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	key_column_usage	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_timezone_names	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	parameters	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	parameters	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	parameters	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	parameters	UPDATE	YES	NO
postgres	postgres	car_shop_db	information_schema	parameters	DELETE	YES	NO
postgres	postgres	car_shop_db	information_schema	parameters	TRUNCATE	YES	NO
postgres	postgres	car_shop_db	information_schema	parameters	REFERENCES	YES	NO
postgres	postgres	car_shop_db	information_schema	parameters	TRIGGER	YES	NO
postgres	PUBLIC	car_shop_db	pg_catalog	pg_stat_all_tables	SELECT	NO	NO
postgres	PUBLIC	car_shop_db	information_schema	referential_constraints	SELECT	NO	NO
postgres	postgres	car_shop_db	information_schema	referential_constraints	SELECT	YES	NO
postgres	postgres	car_shop_db	information_schema	referential_constraints	INSERT	YES	NO
postgres	postgres	car_shop_db	information_schema	referential_constraints	UPDATE	YES	NO
