sign	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dsign			
dsqrt	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dsqrt			
dcbrt	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dcbrt			
dpow	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	701 701					dpow			
dexp	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dexp			
dlog1	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	701					dlog1			
float8	11	10	12	1	0	0	false	false	false	true	false	i	1	0	701	21					i2tod			
float4	11	10	12	1	0	0	false	false	false	true	false	i	1	0	700	21					i2tof			
int2	11	10	12	1	0	0	false	false	false	true	false	i	1	0	21	701					dtoi2			
int2	11	10	12	1	0	0	false	false	false	true	false	i	1	0	21	700					ftoi2			
line_distance	11	10	12	1	0	0	false	false	false	true	false	i	2	0	701	628 628					line_distance			
abstimein	11	10	12	1	0	0	false	false	false	true	false	s	1	0	702	2275					abstimein			
abstimeout	11	10	12	1	0	0	false	false	false	true	false	s	1	0	2275	702					abstimeout			
reltimein	11	10	12	1	0	0	false	false	false	true	false	s	1	0	703	2275					reltimein			
reltimeout	11	10	12	1	0	0	false	false	false	true	false	s	1	0	2275	703					reltimeout			
timepl	11	10	12	1	0	0	false	false	false	true	false	i	2	0	702	702 703					timepl			
timemi	11	10	12	1	0	0	false	false	false	true	false	i	2	0	702	702 703					timemi			
tintervalin	11	10	12	1	0	0	false	false	false	true	false	s	1	0	704	2275					tintervalin			
tintervalout	11	10	12	1	0	0	false	false	false	true	false	s	1	0	2275	704					tintervalout			
intinterval	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	702 704					intinterval			
tintervalrel	11	10	12	1	0	0	false	false	false	true	false	i	1	0	703	704					tintervalrel			
timenow	11	10	12	1	0	0	false	false	false	true	false	s	0	0	702						timenow			
abstimeeq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	702 702					abstimeeq			
abstimene	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	702 702					abstimene			
abstimelt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	702 702					abstimelt			
abstimegt	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	702 702					abstimegt			
abstimele	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	702 702					abstimele			
abstimege	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	702 702					abstimege			
reltimeeq	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	703 703					reltimeeq			
reltimene	11	10	12	1	0	0	false	false	false	true	false	i	2	0	16	703 703					reltimene			
